index	SUBID_tissue	SUBJID
2820	GTEX-14C5O_Adipose_Tissue	GTEX-14C5O
2821	GTEX-14C5O_Nerve	GTEX-14C5O
2822	GTEX-14C5O_Blood_Vessel	GTEX-14C5O
2823	GTEX-14C5O_Muscle	GTEX-14C5O
2824	GTEX-14C5O_Thyroid	GTEX-14C5O
2825	GTEX-14C5O_Lung	GTEX-14C5O
2826	GTEX-14C5O_Heart	GTEX-14C5O
2827	GTEX-14C5O_Esophagus	GTEX-14C5O
2828	GTEX-14C5O_Testis	GTEX-14C5O
2829	GTEX-14C5O_Colon	GTEX-14C5O
2830	GTEX-14C5O_Prostate	GTEX-14C5O
2831	GTEX-14C5O_Pituitary	GTEX-14C5O
2850	GTEX-14DAR_Blood	GTEX-14DAR
2851	GTEX-14DAR_Lung	GTEX-14DAR
2852	GTEX-14DAR_Spleen	GTEX-14DAR
2853	GTEX-14DAR_Adipose_Tissue	GTEX-14DAR
2854	GTEX-14DAR_Pancreas	GTEX-14DAR
2855	GTEX-14DAR_Esophagus	GTEX-14DAR
2856	GTEX-14DAR_Stomach	GTEX-14DAR
2857	GTEX-14DAR_Prostate	GTEX-14DAR
2858	GTEX-14DAR_Testis	GTEX-14DAR
2859	GTEX-14DAR_Skin	GTEX-14DAR
2860	GTEX-14DAR_Breast	GTEX-14DAR
2861	GTEX-14DAR_Small_Intestine	GTEX-14DAR
2862	GTEX-14DAR_Colon	GTEX-14DAR
2863	GTEX-14DAR_Adrenal_Gland	GTEX-14DAR
2864	GTEX-14DAR_Muscle	GTEX-14DAR
2865	GTEX-14DAR_Blood_Vessel	GTEX-14DAR
2866	GTEX-14DAR_Nerve	GTEX-14DAR
2867	GTEX-14E1K_Blood	GTEX-14E1K
2868	GTEX-14E1K_Spleen	GTEX-14E1K
2869	GTEX-14E1K_Lung	GTEX-14E1K
2870	GTEX-14E1K_Liver	GTEX-14E1K
2871	GTEX-14E1K_Adipose_Tissue	GTEX-14E1K
2872	GTEX-14E1K_Adrenal_Gland	GTEX-14E1K
2873	GTEX-14E1K_Blood_Vessel	GTEX-14E1K
2874	GTEX-14E1K_Heart	GTEX-14E1K
2875	GTEX-14E1K_Esophagus	GTEX-14E1K
2876	GTEX-14E1K_Stomach	GTEX-14E1K
2877	GTEX-14E1K_Colon	GTEX-14E1K
2878	GTEX-14E1K_Testis	GTEX-14E1K
2879	GTEX-14E1K_Skin	GTEX-14E1K
2880	GTEX-14E1K_Muscle	GTEX-14E1K
2881	GTEX-14E1K_Salivary_Gland	GTEX-14E1K
2882	GTEX-14E6C_Blood	GTEX-14E6C
2883	GTEX-14E6C_Brain	GTEX-14E6C
2884	GTEX-14E6C_Skin	GTEX-14E6C
2885	GTEX-14E6C_Adipose_Tissue	GTEX-14E6C
2886	GTEX-14E6C_Heart	GTEX-14E6C
2887	GTEX-14E6C_Blood_Vessel	GTEX-14E6C
2888	GTEX-14E6C_Esophagus	GTEX-14E6C
2889	GTEX-14E6C_Nerve	GTEX-14E6C
2890	GTEX-14E6C_Breast	GTEX-14E6C
2891	GTEX-14E6C_Lung	GTEX-14E6C
2892	GTEX-14E6C_Muscle	GTEX-14E6C
2893	GTEX-14E6C_Colon	GTEX-14E6C
2894	GTEX-14E6C_Thyroid	GTEX-14E6C
2895	GTEX-14E6C_Prostate	GTEX-14E6C
2896	GTEX-14E6D_Blood	GTEX-14E6D
2897	GTEX-14E6D_Brain	GTEX-14E6D
2898	GTEX-14E6D_Skin	GTEX-14E6D
2899	GTEX-14E6D_Adipose_Tissue	GTEX-14E6D
2900	GTEX-14E6D_Muscle	GTEX-14E6D
2901	GTEX-14E6D_Heart	GTEX-14E6D
2902	GTEX-14E6D_Lung	GTEX-14E6D
2903	GTEX-14E6E_Blood	GTEX-14E6E
2904	GTEX-14E6E_Adrenal_Gland	GTEX-14E6E
2905	GTEX-14E6E_Adipose_Tissue	GTEX-14E6E
2906	GTEX-14E6E_Thyroid	GTEX-14E6E
2907	GTEX-14E6E_Lung	GTEX-14E6E
2908	GTEX-14E6E_Skin	GTEX-14E6E
2909	GTEX-14E6E_Esophagus	GTEX-14E6E
2910	GTEX-14E6E_Stomach	GTEX-14E6E
2911	GTEX-14E6E_Testis	GTEX-14E6E
2912	GTEX-14E6E_Prostate	GTEX-14E6E
2913	GTEX-14E6E_Spleen	GTEX-14E6E
2914	GTEX-14E6E_Breast	GTEX-14E6E
2915	GTEX-14E6E_Pancreas	GTEX-14E6E
2916	GTEX-14E6E_Colon	GTEX-14E6E
2917	GTEX-14E6E_Small_Intestine	GTEX-14E6E
2918	GTEX-14E6E_Muscle	GTEX-14E6E
2919	GTEX-14E6E_Blood_Vessel	GTEX-14E6E
2920	GTEX-14E6E_Nerve	GTEX-14E6E
2921	GTEX-14E7W_Blood	GTEX-14E7W
2922	GTEX-14E7W_Brain	GTEX-14E7W
2923	GTEX-14E7W_Skin	GTEX-14E7W
2924	GTEX-14E7W_Nerve	GTEX-14E7W
2925	GTEX-14E7W_Blood_Vessel	GTEX-14E7W
2926	GTEX-14E7W_Testis	GTEX-14E7W
2927	GTEX-14E7W_Breast	GTEX-14E7W
2928	GTEX-14E7W_Thyroid	GTEX-14E7W
2929	GTEX-14E7W_Heart	GTEX-14E7W
2930	GTEX-14E7W_Lung	GTEX-14E7W
2931	GTEX-14E7W_Liver	GTEX-14E7W
2932	GTEX-14E7W_Esophagus	GTEX-14E7W
2933	GTEX-14E7W_Adipose_Tissue	GTEX-14E7W
2934	GTEX-14E7W_Pituitary	GTEX-14E7W
2945	GTEX-14ICK_Blood	GTEX-14ICK
2946	GTEX-14ICK_Skin	GTEX-14ICK
2947	GTEX-14ICK_Adipose_Tissue	GTEX-14ICK
2948	GTEX-14ICK_Nerve	GTEX-14ICK
2949	GTEX-14ICK_Colon	GTEX-14ICK
2950	GTEX-14ICK_Esophagus	GTEX-14ICK
2951	GTEX-14ICK_Thyroid	GTEX-14ICK
2952	GTEX-14ICK_Prostate	GTEX-14ICK
2953	GTEX-14ICK_Breast	GTEX-14ICK
2954	GTEX-14ICL_Blood	GTEX-14ICL
2955	GTEX-14ICL_Spleen	GTEX-14ICL
2956	GTEX-14ICL_Blood_Vessel	GTEX-14ICL
2957	GTEX-14ICL_Thyroid	GTEX-14ICL
2958	GTEX-14ICL_Esophagus	GTEX-14ICL
2959	GTEX-14ICL_Stomach	GTEX-14ICL
2960	GTEX-14ICL_Adipose_Tissue	GTEX-14ICL
2961	GTEX-14ICL_Pancreas	GTEX-14ICL
2962	GTEX-14ICL_Colon	GTEX-14ICL
2963	GTEX-14ICL_Skin	GTEX-14ICL
2964	GTEX-14ICL_Muscle	GTEX-14ICL
2965	GTEX-14JFF_Blood	GTEX-14JFF
2966	GTEX-14JFF_Brain	GTEX-14JFF
2967	GTEX-14JFF_Nerve	GTEX-14JFF
2968	GTEX-14JFF_Blood_Vessel	GTEX-14JFF
2969	GTEX-14JFF_Skin	GTEX-14JFF
2970	GTEX-14JG1_Blood	GTEX-14JG1
2971	GTEX-14JG1_Brain	GTEX-14JG1
2972	GTEX-14JG1_Muscle	GTEX-14JG1
2973	GTEX-14JG1_Blood_Vessel	GTEX-14JG1
2974	GTEX-14JG1_Skin	GTEX-14JG1
2975	GTEX-14JG1_Adipose_Tissue	GTEX-14JG1
2976	GTEX-14JG1_Heart	GTEX-14JG1
2977	GTEX-14JG1_Lung	GTEX-14JG1
2978	GTEX-14JG1_Liver	GTEX-14JG1
2979	GTEX-14JG1_Esophagus	GTEX-14JG1
2980	GTEX-14JG1_Pituitary	GTEX-14JG1
2981	GTEX-14JG6_Blood	GTEX-14JG6
2982	GTEX-14JG6_Adrenal_Gland	GTEX-14JG6
2983	GTEX-14JG6_Spleen	GTEX-14JG6
2984	GTEX-14JG6_Lung	GTEX-14JG6
2985	GTEX-14JG6_Pancreas	GTEX-14JG6
2986	GTEX-14JG6_Adipose_Tissue	GTEX-14JG6
2987	GTEX-14JG6_Ovary	GTEX-14JG6
2988	GTEX-14JG6_Vagina	GTEX-14JG6
2989	GTEX-14JG6_Uterus	GTEX-14JG6
2990	GTEX-14JG6_Esophagus	GTEX-14JG6
2991	GTEX-14JG6_Stomach	GTEX-14JG6
2992	GTEX-14JG6_Thyroid	GTEX-14JG6
2993	GTEX-14JG6_Skin	GTEX-14JG6
2994	GTEX-14JG6_Colon	GTEX-14JG6
2995	GTEX-14JG6_Nerve	GTEX-14JG6
2996	GTEX-14JG6_Blood_Vessel	GTEX-14JG6
2997	GTEX-14JG6_Muscle	GTEX-14JG6
2998	GTEX-14JIY_Blood	GTEX-14JIY
2999	GTEX-14JIY_Brain	GTEX-14JIY
3000	GTEX-14JIY_Skin	GTEX-14JIY
3001	GTEX-14JIY_Muscle	GTEX-14JIY
3002	GTEX-14JIY_Adipose_Tissue	GTEX-14JIY
3003	GTEX-14JIY_Esophagus	GTEX-14JIY
3004	GTEX-14JIY_Heart	GTEX-14JIY
3005	GTEX-14JIY_Thyroid	GTEX-14JIY
3006	GTEX-14JIY_Lung	GTEX-14JIY
3007	GTEX-14JIY_Salivary_Gland	GTEX-14JIY
3008	GTEX-14JIY_Colon	GTEX-14JIY
3018	GTEX-14LZ3_Blood	GTEX-14LZ3
3019	GTEX-14LZ3_Brain	GTEX-14LZ3
3020	GTEX-14LZ3_Skin	GTEX-14LZ3
3021	GTEX-14LZ3_Muscle	GTEX-14LZ3
3022	GTEX-14LZ3_Lung	GTEX-14LZ3
3023	GTEX-14LZ3_Pituitary	GTEX-14LZ3
3024	GTEX-14PHW_Blood	GTEX-14PHW
3025	GTEX-14PHW_Brain	GTEX-14PHW
3026	GTEX-14PHW_Skin	GTEX-14PHW
3027	GTEX-14PHW_Nerve	GTEX-14PHW
3028	GTEX-14PHW_Esophagus	GTEX-14PHW
3029	GTEX-14PHW_Adipose_Tissue	GTEX-14PHW
3030	GTEX-14PHW_Uterus	GTEX-14PHW
3031	GTEX-14PHW_Thyroid	GTEX-14PHW
3032	GTEX-14PHX_Liver	GTEX-14PHX
3033	GTEX-14PHX_Heart	GTEX-14PHX
3034	GTEX-14PHX_Esophagus	GTEX-14PHX
3035	GTEX-14PHX_Stomach	GTEX-14PHX
3036	GTEX-14PHX_Colon	GTEX-14PHX
3037	GTEX-14PHX_Testis	GTEX-14PHX
3038	GTEX-14PHX_Adipose_Tissue	GTEX-14PHX
3039	GTEX-14PHX_Pancreas	GTEX-14PHX
3040	GTEX-14PHX_Skin	GTEX-14PHX
3041	GTEX-14PHX_Nerve	GTEX-14PHX
3042	GTEX-14PHY_Blood	GTEX-14PHY
3043	GTEX-14PHY_Heart	GTEX-14PHY
3044	GTEX-14PHY_Lung	GTEX-14PHY
3045	GTEX-14PHY_Esophagus	GTEX-14PHY
3046	GTEX-14PHY_Stomach	GTEX-14PHY
3047	GTEX-14PHY_Adipose_Tissue	GTEX-14PHY
3048	GTEX-14PHY_Pancreas	GTEX-14PHY
3049	GTEX-14PHY_Skin	GTEX-14PHY
3050	GTEX-14PHY_Breast	GTEX-14PHY
3051	GTEX-14PHY_Nerve	GTEX-14PHY
3052	GTEX-14PHY_Blood_Vessel	GTEX-14PHY
3061	GTEX-14PJ2_Blood	GTEX-14PJ2
3062	GTEX-14PJ2_Adipose_Tissue	GTEX-14PJ2
3063	GTEX-14PJ2_Muscle	GTEX-14PJ2
3064	GTEX-14PJ2_Skin	GTEX-14PJ2
3065	GTEX-14PJ2_Heart	GTEX-14PJ2
3066	GTEX-14PJ2_Blood_Vessel	GTEX-14PJ2
3067	GTEX-14PJ2_Pancreas	GTEX-14PJ2
3068	GTEX-14PJ2_Testis	GTEX-14PJ2
3069	GTEX-14PJ2_Prostate	GTEX-14PJ2
3070	GTEX-14PJ2_Esophagus	GTEX-14PJ2
3071	GTEX-14PJ3_Blood	GTEX-14PJ3
3072	GTEX-14PJ3_Thyroid	GTEX-14PJ3
3073	GTEX-14PJ3_Blood_Vessel	GTEX-14PJ3
3074	GTEX-14PJ3_Pancreas	GTEX-14PJ3
3075	GTEX-14PJ3_Esophagus	GTEX-14PJ3
3076	GTEX-14PJ3_Adipose_Tissue	GTEX-14PJ3
3077	GTEX-14PJ3_Colon	GTEX-14PJ3
3078	GTEX-14PJ3_Skin	GTEX-14PJ3
3079	GTEX-14PJ3_Small_Intestine	GTEX-14PJ3
3080	GTEX-14PJ3_Stomach	GTEX-14PJ3
3081	GTEX-14PJ3_Salivary_Gland	GTEX-14PJ3
3082	GTEX-14PJ3_Testis	GTEX-14PJ3
3083	GTEX-14PJ3_Prostate	GTEX-14PJ3
3084	GTEX-14PJ3_Muscle	GTEX-14PJ3
3085	GTEX-14PJ3_Nerve	GTEX-14PJ3
3104	GTEX-14PJ5_Blood	GTEX-14PJ5
3105	GTEX-14PJ5_Lung	GTEX-14PJ5
3106	GTEX-14PJ5_Spleen	GTEX-14PJ5
3107	GTEX-14PJ5_Adipose_Tissue	GTEX-14PJ5
3108	GTEX-14PJ5_Esophagus	GTEX-14PJ5
3109	GTEX-14PJ5_Stomach	GTEX-14PJ5
3110	GTEX-14PJ5_Colon	GTEX-14PJ5
3111	GTEX-14PJ5_Skin	GTEX-14PJ5
3112	GTEX-14PJ5_Blood_Vessel	GTEX-14PJ5
3113	GTEX-14PJ5_Muscle	GTEX-14PJ5
3114	GTEX-14PJ6_Blood	GTEX-14PJ6
3115	GTEX-14PJ6_Adrenal_Gland	GTEX-14PJ6
3116	GTEX-14PJ6_Spleen	GTEX-14PJ6
3117	GTEX-14PJ6_Thyroid	GTEX-14PJ6
3118	GTEX-14PJ6_Blood_Vessel	GTEX-14PJ6
3119	GTEX-14PJ6_Heart	GTEX-14PJ6
3120	GTEX-14PJ6_Stomach	GTEX-14PJ6
3121	GTEX-14PJ6_Pancreas	GTEX-14PJ6
3122	GTEX-14PJ6_Esophagus	GTEX-14PJ6
3123	GTEX-14PJ6_Uterus	GTEX-14PJ6
3124	GTEX-14PJ6_Vagina	GTEX-14PJ6
3125	GTEX-14PJ6_Small_Intestine	GTEX-14PJ6
3126	GTEX-14PJ6_Skin	GTEX-14PJ6
3127	GTEX-14PJ6_Adipose_Tissue	GTEX-14PJ6
3128	GTEX-14PJ6_Muscle	GTEX-14PJ6
3129	GTEX-14PJ6_Nerve	GTEX-14PJ6
3130	GTEX-14PJM_Blood	GTEX-14PJM
3131	GTEX-14PJM_Brain	GTEX-14PJM
3132	GTEX-14PJM_Skin	GTEX-14PJM
3133	GTEX-14PJM_Adipose_Tissue	GTEX-14PJM
3134	GTEX-14PJM_Muscle	GTEX-14PJM
3135	GTEX-14PJM_Blood_Vessel	GTEX-14PJM
3136	GTEX-14PJM_Heart	GTEX-14PJM
3137	GTEX-14PJM_Lung	GTEX-14PJM
3138	GTEX-14PJM_Thyroid	GTEX-14PJM
3139	GTEX-14PJM_Esophagus	GTEX-14PJM
3140	GTEX-14PJM_Pancreas	GTEX-14PJM
3141	GTEX-14PJM_Adrenal_Gland	GTEX-14PJM
3142	GTEX-14PJM_Ovary	GTEX-14PJM
3143	GTEX-14PJM_Colon	GTEX-14PJM
3144	GTEX-14PJM_Uterus	GTEX-14PJM
3145	GTEX-14PJM_Vagina	GTEX-14PJM
3146	GTEX-14PJM_Pituitary	GTEX-14PJM
3147	GTEX-14PJN_Blood	GTEX-14PJN
3148	GTEX-14PJN_Esophagus	GTEX-14PJN
3149	GTEX-14PJN_Adipose_Tissue	GTEX-14PJN
3150	GTEX-14PJN_Small_Intestine	GTEX-14PJN
3151	GTEX-14PJN_Pancreas	GTEX-14PJN
3152	GTEX-14PJN_Testis	GTEX-14PJN
3153	GTEX-14PJN_Salivary_Gland	GTEX-14PJN
3154	GTEX-14PJN_Skin	GTEX-14PJN
3155	GTEX-14PJN_Muscle	GTEX-14PJN
3156	GTEX-14PJN_Blood_Vessel	GTEX-14PJN
3157	GTEX-14PJO_Blood	GTEX-14PJO
3158	GTEX-14PJO_Brain	GTEX-14PJO
3159	GTEX-14PJO_Nerve	GTEX-14PJO
3160	GTEX-14PJO_Muscle	GTEX-14PJO
3161	GTEX-14PJO_Thyroid	GTEX-14PJO
3162	GTEX-14PJO_Breast	GTEX-14PJO
3163	GTEX-14PJO_Heart	GTEX-14PJO
3164	GTEX-14PJO_Lung	GTEX-14PJO
3165	GTEX-14PJO_Adipose_Tissue	GTEX-14PJO
3166	GTEX-14PJO_Liver	GTEX-14PJO
3167	GTEX-14PJO_Pancreas	GTEX-14PJO
3168	GTEX-14PJO_Skin	GTEX-14PJO
3169	GTEX-14PJO_Prostate	GTEX-14PJO
3170	GTEX-14PK6_Blood	GTEX-14PK6
3171	GTEX-14PK6_Adrenal_Gland	GTEX-14PK6
3172	GTEX-14PK6_Skin	GTEX-14PK6
3173	GTEX-14PK6_Lung	GTEX-14PK6
3174	GTEX-14PK6_Thyroid	GTEX-14PK6
3175	GTEX-14PK6_Spleen	GTEX-14PK6
3176	GTEX-14PK6_Blood_Vessel	GTEX-14PK6
3177	GTEX-14PK6_Heart	GTEX-14PK6
3178	GTEX-14PK6_Adipose_Tissue	GTEX-14PK6
3179	GTEX-14PK6_Pancreas	GTEX-14PK6
3180	GTEX-14PK6_Esophagus	GTEX-14PK6
3181	GTEX-14PK6_Small_Intestine	GTEX-14PK6
3182	GTEX-14PK6_Colon	GTEX-14PK6
3183	GTEX-14PK6_Muscle	GTEX-14PK6
3197	GTEX-14PKV_Blood	GTEX-14PKV
3198	GTEX-14PKV_Skin	GTEX-14PKV
3199	GTEX-14PKV_Thyroid	GTEX-14PKV
3200	GTEX-14PKV_Adrenal_Gland	GTEX-14PKV
3201	GTEX-14PKV_Pancreas	GTEX-14PKV
3202	GTEX-14PKV_Ovary	GTEX-14PKV
3203	GTEX-14PKV_Uterus	GTEX-14PKV
3204	GTEX-14PKV_Esophagus	GTEX-14PKV
3205	GTEX-14PKV_Stomach	GTEX-14PKV
3206	GTEX-14PKV_Colon	GTEX-14PKV
3207	GTEX-14PKV_Small_Intestine	GTEX-14PKV
3224	GTEX-14PN4_Blood	GTEX-14PN4
3225	GTEX-14PN4_Skin	GTEX-14PN4
3226	GTEX-14PN4_Brain	GTEX-14PN4
3227	GTEX-14PN4_Muscle	GTEX-14PN4
3228	GTEX-14PN4_Blood_Vessel	GTEX-14PN4
3229	GTEX-14PN4_Breast	GTEX-14PN4
3230	GTEX-14PN4_Heart	GTEX-14PN4
3231	GTEX-14PN4_Adipose_Tissue	GTEX-14PN4
3232	GTEX-14PN4_Thyroid	GTEX-14PN4
3233	GTEX-14PN4_Pancreas	GTEX-14PN4
3234	GTEX-14PN4_Salivary_Gland	GTEX-14PN4
3235	GTEX-14PN4_Pituitary	GTEX-14PN4
3236	GTEX-14PQA_Blood	GTEX-14PQA
3237	GTEX-14PQA_Skin	GTEX-14PQA
3238	GTEX-14PQA_Brain	GTEX-14PQA
3239	GTEX-14PQA_Muscle	GTEX-14PQA
3240	GTEX-14PQA_Lung	GTEX-14PQA
3241	GTEX-14PQA_Thyroid	GTEX-14PQA
3242	GTEX-14PQA_Pituitary	GTEX-14PQA
3243	GTEX-14XAO_Blood	GTEX-14XAO
3244	GTEX-14XAO_Skin	GTEX-14XAO
3245	GTEX-14XAO_Liver	GTEX-14XAO
3246	GTEX-14XAO_Adrenal_Gland	GTEX-14XAO
3247	GTEX-14XAO_Thyroid	GTEX-14XAO
3248	GTEX-14XAO_Lung	GTEX-14XAO
3249	GTEX-14XAO_Heart	GTEX-14XAO
3250	GTEX-14XAO_Blood_Vessel	GTEX-14XAO
3251	GTEX-14XAO_Esophagus	GTEX-14XAO
3252	GTEX-14XAO_Small_Intestine	GTEX-14XAO
3253	GTEX-14XAO_Colon	GTEX-14XAO
3254	GTEX-14XAO_Muscle	GTEX-14XAO
3255	GTEX-15CHC_Blood	GTEX-15CHC
3256	GTEX-15CHC_Skin	GTEX-15CHC
3257	GTEX-15CHC_Thyroid	GTEX-15CHC
3258	GTEX-15CHC_Lung	GTEX-15CHC
3259	GTEX-15CHC_Heart	GTEX-15CHC
3260	GTEX-15CHC_Blood_Vessel	GTEX-15CHC
3261	GTEX-15CHC_Spleen	GTEX-15CHC
3262	GTEX-15CHC_Adipose_Tissue	GTEX-15CHC
3263	GTEX-15CHC_Salivary_Gland	GTEX-15CHC
3264	GTEX-15CHC_Esophagus	GTEX-15CHC
3265	GTEX-15CHC_Colon	GTEX-15CHC
3266	GTEX-15CHC_Uterus	GTEX-15CHC
3267	GTEX-15CHC_Muscle	GTEX-15CHC
3268	GTEX-15CHC_Nerve	GTEX-15CHC
3281	GTEX-15CHR_Blood	GTEX-15CHR
3282	GTEX-15CHR_Skin	GTEX-15CHR
3283	GTEX-15CHR_Blood_Vessel	GTEX-15CHR
3284	GTEX-15CHR_Heart	GTEX-15CHR
3285	GTEX-15CHR_Adrenal_Gland	GTEX-15CHR
3286	GTEX-15CHR_Lung	GTEX-15CHR
3287	GTEX-15CHR_Esophagus	GTEX-15CHR
3288	GTEX-15CHR_Prostate	GTEX-15CHR
3289	GTEX-15CHR_Stomach	GTEX-15CHR
3290	GTEX-15CHR_Colon	GTEX-15CHR
3291	GTEX-15CHR_Thyroid	GTEX-15CHR
3292	GTEX-15CHR_Pancreas	GTEX-15CHR
3293	GTEX-15CHR_Muscle	GTEX-15CHR
3302	GTEX-15D79_Blood	GTEX-15D79
3303	GTEX-15D79_Skin	GTEX-15D79
3304	GTEX-15D79_Blood_Vessel	GTEX-15D79
3305	GTEX-15D79_Muscle	GTEX-15D79
3306	GTEX-15D79_Pituitary	GTEX-15D79
3307	GTEX-15DCD_Blood	GTEX-15DCD
3308	GTEX-15DCD_Skin	GTEX-15DCD
3309	GTEX-15DCD_Brain	GTEX-15DCD
3310	GTEX-15DCD_Adipose_Tissue	GTEX-15DCD
3311	GTEX-15DCD_Muscle	GTEX-15DCD
3312	GTEX-15DCD_Esophagus	GTEX-15DCD
3313	GTEX-15DCD_Pituitary	GTEX-15DCD
3314	GTEX-15DCE_Blood	GTEX-15DCE
3315	GTEX-15DCE_Skin	GTEX-15DCE
3316	GTEX-15DCE_Heart	GTEX-15DCE
3317	GTEX-15DCE_Esophagus	GTEX-15DCE
3318	GTEX-15DCE_Stomach	GTEX-15DCE
3319	GTEX-15DCE_Colon	GTEX-15DCE
3320	GTEX-15DDE_Skin	GTEX-15DDE
3321	GTEX-15DDE_Brain	GTEX-15DDE
3322	GTEX-15DDE_Adipose_Tissue	GTEX-15DDE
3323	GTEX-15DDE_Nerve	GTEX-15DDE
3324	GTEX-15DDE_Blood_Vessel	GTEX-15DDE
3325	GTEX-15DDE_Muscle	GTEX-15DDE
3326	GTEX-15DDE_Thyroid	GTEX-15DDE
3327	GTEX-15DDE_Heart	GTEX-15DDE
3328	GTEX-15DDE_Ovary	GTEX-15DDE
3329	GTEX-15DDE_Pituitary	GTEX-15DDE
3330	GTEX-15DYW_Blood	GTEX-15DYW
3331	GTEX-15DYW_Skin	GTEX-15DYW
3332	GTEX-15DYW_Brain	GTEX-15DYW
3333	GTEX-15DYW_Nerve	GTEX-15DYW
3334	GTEX-15DYW_Heart	GTEX-15DYW
3335	GTEX-15DYW_Blood_Vessel	GTEX-15DYW
3336	GTEX-15DYW_Liver	GTEX-15DYW
3337	GTEX-15DYW_Spleen	GTEX-15DYW
3338	GTEX-15DYW_Adipose_Tissue	GTEX-15DYW
3339	GTEX-15DYW_Pancreas	GTEX-15DYW
3340	GTEX-15DYW_Esophagus	GTEX-15DYW
3341	GTEX-15DYW_Adrenal_Gland	GTEX-15DYW
3342	GTEX-15DYW_Colon	GTEX-15DYW
3343	GTEX-15DYW_Ovary	GTEX-15DYW
3344	GTEX-15DYW_Vagina	GTEX-15DYW
3345	GTEX-15DZA_Blood	GTEX-15DZA
3346	GTEX-15DZA_Skin	GTEX-15DZA
3347	GTEX-15DZA_Spleen	GTEX-15DZA
3348	GTEX-15DZA_Thyroid	GTEX-15DZA
3349	GTEX-15DZA_Esophagus	GTEX-15DZA
3350	GTEX-15DZA_Adipose_Tissue	GTEX-15DZA
3351	GTEX-15DZA_Small_Intestine	GTEX-15DZA
3352	GTEX-15DZA_Colon	GTEX-15DZA
3353	GTEX-15DZA_Stomach	GTEX-15DZA
3354	GTEX-15DZA_Blood_Vessel	GTEX-15DZA
3355	GTEX-15DZA_Uterus	GTEX-15DZA
3356	GTEX-15DZA_Muscle	GTEX-15DZA
3374	GTEX-15ER7_Skin	GTEX-15ER7
3375	GTEX-15ER7_Brain	GTEX-15ER7
3376	GTEX-15ER7_Nerve	GTEX-15ER7
3377	GTEX-15ER7_Muscle	GTEX-15ER7
3378	GTEX-15ER7_Adipose_Tissue	GTEX-15ER7
3379	GTEX-15ER7_Thyroid	GTEX-15ER7
3380	GTEX-15ER7_Heart	GTEX-15ER7
3381	GTEX-15ER7_Lung	GTEX-15ER7
3382	GTEX-15ER7_Adrenal_Gland	GTEX-15ER7
3383	GTEX-15ER7_Pancreas	GTEX-15ER7
3384	GTEX-15ER7_Blood_Vessel	GTEX-15ER7
3385	GTEX-15ER7_Spleen	GTEX-15ER7
3386	GTEX-15ER7_Breast	GTEX-15ER7
3387	GTEX-15ER7_Liver	GTEX-15ER7
3388	GTEX-15ER7_Esophagus	GTEX-15ER7
3389	GTEX-15ER7_Ovary	GTEX-15ER7
3390	GTEX-15ER7_Uterus	GTEX-15ER7
3391	GTEX-15ER7_Vagina	GTEX-15ER7
3392	GTEX-15ER7_Colon	GTEX-15ER7
3393	GTEX-15ER7_Pituitary	GTEX-15ER7
3394	GTEX-15ETS_Blood	GTEX-15ETS
3395	GTEX-15ETS_Skin	GTEX-15ETS
3396	GTEX-15ETS_Muscle	GTEX-15ETS
3397	GTEX-15ETS_Adipose_Tissue	GTEX-15ETS
3398	GTEX-15ETS_Thyroid	GTEX-15ETS
3399	GTEX-15ETS_Breast	GTEX-15ETS
3400	GTEX-15ETS_Blood_Vessel	GTEX-15ETS
3401	GTEX-15ETS_Uterus	GTEX-15ETS
3402	GTEX-15ETS_Esophagus	GTEX-15ETS
3403	GTEX-15ETS_Colon	GTEX-15ETS
3404	GTEX-15ETS_Spleen	GTEX-15ETS
3405	GTEX-15EU6_Blood	GTEX-15EU6
3406	GTEX-15EU6_Skin	GTEX-15EU6
3407	GTEX-15EU6_Adrenal_Gland	GTEX-15EU6
3408	GTEX-15EU6_Blood_Vessel	GTEX-15EU6
3409	GTEX-15EU6_Pancreas	GTEX-15EU6
3410	GTEX-15EU6_Lung	GTEX-15EU6
3411	GTEX-15EU6_Heart	GTEX-15EU6
3412	GTEX-15EU6_Thyroid	GTEX-15EU6
3413	GTEX-15EU6_Esophagus	GTEX-15EU6
3414	GTEX-15EU6_Adipose_Tissue	GTEX-15EU6
3415	GTEX-15EU6_Small_Intestine	GTEX-15EU6
3416	GTEX-15EU6_Stomach	GTEX-15EU6
3417	GTEX-15EU6_Salivary_Gland	GTEX-15EU6
3418	GTEX-15F5U_Skin	GTEX-15F5U
3419	GTEX-15F5U_Spleen	GTEX-15F5U
3420	GTEX-15F5U_Blood_Vessel	GTEX-15F5U
3421	GTEX-15F5U_Colon	GTEX-15F5U
3422	GTEX-15F5U_Muscle	GTEX-15F5U
3423	GTEX-15F5U_Nerve	GTEX-15F5U
3424	GTEX-15F5U_Esophagus	GTEX-15F5U
3425	GTEX-15FZZ_Skin	GTEX-15FZZ
3426	GTEX-15FZZ_Thyroid	GTEX-15FZZ
3427	GTEX-15FZZ_Lung	GTEX-15FZZ
3428	GTEX-15FZZ_Blood_Vessel	GTEX-15FZZ
3429	GTEX-15FZZ_Pancreas	GTEX-15FZZ
3430	GTEX-15FZZ_Breast	GTEX-15FZZ
3431	GTEX-15FZZ_Ovary	GTEX-15FZZ
3432	GTEX-15FZZ_Uterus	GTEX-15FZZ
